ID	CR_cumulated_SLSJ	Disease_Cumulated
50932	10	FLG-related_disorder|Dermatitis,_atopic,_2|Ichthyosis_vulgaris|Dermatitis,_atopic|not_provided
225060	10	Inborn_genetic_diseases|Ichthyosis_vulgaris|not_provided
50931	10	not_provided|Ichthyosis_vulgaris
265537	10	not_provided|Ichthyosis_vulgaris
280718	10	Ichthyosis_vulgaris|Dermatitis,_atopic,_2|not_provided
16319	10	not_provided|FLG-related_disorder|Ichthyosis_vulgaris|Atopic_eczema|Dermatitis,_atopic,_2|Dermatitis,_atopic,_2,_susceptibility_to|Eczematoid_dermatitis
1456959	189	not_provided|PKLR-related_disorder
280113	189	Pyruvate_kinase_deficiency_of_red_cells|not_provided|Pyruvate_kinase_hyperactivity
188823	124	not_provided|Nephrotic_range_proteinuria|Focal_segmental_glomerulosclerosis|Steroid-resistant_nephrotic_syndrome|Chronic_kidney_disease|Nephrotic_syndrome,_type_2|NPHS2-related_disorder
5360	124	Nephrotic_range_proteinuria|Steroid-resistant_nephrotic_syndrome|NPHS2-related_disorder|Nephrotic_syndrome,_type_2|not_provided|Nephrotic_syndrome|Chronic_kidney_disease
1344816	124	not_provided|Nephrotic_syndrome,_type_2|Nephrotic_syndrome
2506156	150	Bartter_syndrome
981532	150	not_provided|Bartter_disease_type_2
505150	43	not_provided|Rare_genetic_deafness|Autosomal_recessive_nonsyndromic_hearing_loss_18B
39819	43	not_provided|Autosomal_recessive_nonsyndromic_hearing_loss_18B
930161	43	Rare_genetic_deafness|not_provided
505170	43	OTOG-related_disorder|Rare_genetic_deafness|Autosomal_recessive_nonsyndromic_hearing_loss_18B|not_provided
945649	86	Glycogen_storage_disease,_type_V|Tip-toe_gait
2298	86	Muscular_atrophy|Inborn_genetic_diseases|See_cases|Tip-toe_gait|Glycogen_storage_disease,_type_V|not_provided
99570	129	not_provided|Tyrosinase-negative_oculocutaneous_albinism|SKIN/HAIR/EYE_PIGMENTATION_3,_LIGHT/DARK_SKIN
3240675	129	SKIN/HAIR/EYE_PIGMENTATION_3,_LIGHT/DARK_SKIN
437987	129	not_provided|SKIN/HAIR/EYE_PIGMENTATION_3,_LIGHT/DARK_SKIN|Tyrosinase-negative_oculocutaneous_albinism|Albinism
2771	58	GNPTAB-related_disorder|Inborn_genetic_diseases|not_provided|Mucolipidosis_type_II|Pseudo-Hurler_polydystrophy
197858	58	not_provided|Mucolipidosis_type_II|Pseudo-Hurler_polydystrophy
623	103	not_provided|Phenylketonuria
615	103	Phenylketonuria|not_provided
102468	103	Phenylketonuria|not_provided
